, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Inbound, Label
521,17,1,2,0,802.0,0.0,1,3
38,6,117419503,16,0,0.0,0.0,1,2
386,17,1,2,0,802.0,0.0,1,3
920,6,166,1,1,0.0,0.0,0,5
190,17,2,2,0,2944.0,0.0,1,7
599,17,107644,4,0,1438.0,0.0,1,3
113,17,2,2,0,874.0,0.0,1,4
223,17,2,2,0,2806.0,0.0,1,7
295,17,2,2,0,1304.0,0.0,1,4
121,6,11175108,35,40,2918.0,4514.0,1,5
401,17,39704,200,0,88000.0,0.0,1,1
112,17,0,2,0,778.0,0.0,1,3
186,6,51,2,0,0.0,0.0,1,2
716,6,113738547,16,4,0.0,0.0,1,2
313,6,1,2,0,0.0,0.0,1,2
584,6,77863,4,4,92.0,92.0,0,0
554,17,1,2,0,458.0,0.0,1,6
104,17,20734,2,2,80.0,200.0,0,0
473,17,1,2,0,880.0,0.0,1,4
973,6,886,1,3,0.0,0.0,1,5
631,17,3,2,0,2944.0,0.0,1,7
797,17,2,2,0,2944.0,0.0,1,1
598,17,48,2,0,458.0,0.0,1,6
473,6,1,2,0,0.0,0.0,1,2
425,17,1058,6,0,2640.0,0.0,0,1
871,6,9014933,6,0,0.0,0.0,1,0
293,17,1,2,0,422.0,0.0,1,6
569,17,74432,200,0,88000.0,0.0,1,1
879,17,2,2,0,494.0,0.0,1,6
910,17,2,2,0,1198.0,0.0,1,4
349,17,1,2,0,458.0,0.0,1,6
640,17,1,2,0,1044.0,0.0,1,4
741,17,20893,2,2,166.0,198.0,0,0
744,17,20572,2,2,56.0,120.0,0,0
826,17,771070,16,0,5940.0,0.0,1,3
938,6,81165,1,2,0.0,0.0,0,5
789,6,26553,1,1,0.0,0.0,0,0
39,17,29130,200,0,88000.0,0.0,1,1
944,6,10618366,27,32,2750.0,4378.0,1,5
720,6,1,2,0,0.0,0.0,1,2
419,6,1,2,0,0.0,0.0,1,2
702,6,118331430,18,4,0.0,0.0,1,2
156,17,2,2,0,2816.0,0.0,1,7
680,6,108951028,18,2,0.0,0.0,1,2
748,17,1,2,0,1842.0,0.0,1,4
713,6,117227728,14,2,0.0,0.0,1,2
108,17,1,2,0,944.0,0.0,1,4
758,6,11518548,5,2,0.0,0.0,1,1
441,17,48,2,0,494.0,0.0,1,6
108,17,108971,4,0,1398.0,0.0,1,3
648,17,1,2,0,802.0,0.0,1,3
504,17,48,2,0,802.0,0.0,1,3
517,6,188,1,1,0.0,0.0,1,1
403,17,2,2,0,2944.0,0.0,1,7
721,17,1,2,0,1118.0,0.0,1,4
771,17,770652,16,0,5940.0,0.0,1,3
549,17,0,2,0,822.0,0.0,1,4
507,6,2368002,2,0,280.0,0.0,0,5
453,17,2,2,0,2944.0,0.0,1,7
282,17,84891,200,0,88000.0,0.0,1,1
65,17,106147,4,0,1398.0,0.0,1,3
861,17,1,2,0,458.0,0.0,1,6
697,17,1,2,0,458.0,0.0,1,6
703,17,45,2,0,422.0,0.0,1,6
671,6,49,2,0,0.0,0.0,1,2
937,6,96674,4,0,0.0,0.0,1,2
333,17,50,2,0,458.0,0.0,1,6
129,17,1,2,0,802.0,0.0,1,3
371,17,1,2,0,904.0,0.0,1,4
489,17,2,2,0,2944.0,0.0,1,7
539,17,59899,200,0,88000.0,0.0,1,1
131,17,20608,2,2,84.0,116.0,0,0
917,17,1,2,0,766.0,0.0,1,3
640,17,1,2,0,2788.0,0.0,1,7
294,17,20575,2,2,78.0,110.0,0,0
303,6,1,2,0,0.0,0.0,1,2
834,17,20638,2,2,86.0,204.0,0,0
312,17,1,2,0,2694.0,0.0,1,7
351,17,61106,200,0,88000.0,0.0,1,1
67,17,50,2,0,902.0,0.0,1,4
258,17,1,2,0,2938.0,0.0,1,4
562,6,736147,2,0,0.0,0.0,0,5
98,17,1,2,0,1170.0,0.0,1,4
170,6,110799659,14,0,0.0,0.0,1,2
776,17,3,2,0,2944.0,0.0,1,7
636,17,109866,4,0,1446.0,0.0,1,3
568,6,254,5,0,154.0,0.0,0,0
341,17,1,2,0,926.0,0.0,1,4
837,17,1,2,0,802.0,0.0,1,3
309,6,68,2,2,0.0,0.0,1,2
159,6,5326244,8,7,1110.0,2146.0,1,5
931,17,2,2,0,840.0,0.0,1,4
793,17,1,2,0,458.0,0.0,1,6
451,17,3,2,0,2928.0,0.0,1,7
294,6,84190678,12,0,0.0,0.0,1,2
506,17,1,2,0,1196.0,0.0,1,4
858,6,120,1,2,0.0,0.0,1,5
715,17,212123,6,0,2088.0,0.0,1,3
995,6,105581968,16,2,0.0,0.0,1,2
91,17,1,2,0,766.0,0.0,1,3
721,17,329505,8,0,3006.0,0.0,1,3
721,17,2,2,0,494.0,0.0,1,6
851,17,20647,2,2,50.0,82.0,0,0
105,17,1,2,0,458.0,0.0,1,6
215,6,112213100,12,6,307.0,184.0,0,0
827,6,943,1,3,0.0,0.0,1,5
714,17,106747,4,0,1398.0,0.0,1,3
924,6,1,2,0,0.0,0.0,1,2
572,17,2,2,0,2816.0,0.0,1,7
781,6,1,2,0,0.0,0.0,1,2
55,17,53788,200,0,88000.0,0.0,1,1
219,17,109140,4,0,1446.0,0.0,1,3
782,17,75516,200,0,88000.0,0.0,1,1
992,6,48,2,0,0.0,0.0,1,2
761,17,2,2,0,458.0,0.0,1,6
116,17,108964,4,0,1398.0,0.0,1,3
181,6,60225819,25,25,4432.0,8296.0,0,0
4,6,95613243,21,20,20.0,0.0,0,0
345,17,2,2,0,458.0,0.0,1,6
152,17,46689,2,2,82.0,242.0,0,0
418,6,97515958,8,0,0.0,0.0,1,2
456,17,45,2,0,458.0,0.0,1,6
338,17,0,2,0,802.0,0.0,1,3
604,17,1,2,0,914.0,0.0,1,4
520,17,1,2,0,806.0,0.0,1,4
595,17,108285,4,0,1398.0,0.0,1,3
591,17,1,2,0,2776.0,0.0,1,7
843,17,3,2,0,2944.0,0.0,1,1
618,6,4933922,9,6,750.0,2146.0,1,5
773,17,4,2,0,2944.0,0.0,1,1
742,17,2,2,0,2692.0,0.0,1,7
654,17,1,2,0,766.0,0.0,1,3
671,17,20681,2,2,82.0,138.0,0,0
173,17,20831,2,2,116.0,148.0,0,0
541,6,192,1,1,0.0,0.0,0,5
914,6,1,2,0,0.0,0.0,1,2
408,17,105753,4,0,1398.0,0.0,1,3
759,6,54734,1,1,0.0,0.0,0,0
45,17,73973,200,0,88000.0,0.0,1,1
551,6,122,1,2,0.0,0.0,1,5
675,17,29997,200,0,88000.0,0.0,1,1
367,6,54759,1,1,0.0,0.0,0,0
362,17,37817,200,0,88000.0,0.0,1,1
34,17,108890,4,0,1398.0,0.0,1,3
512,17,126419,200,0,88000.0,0.0,1,1
340,17,1,2,0,1292.0,0.0,1,4
442,6,11275641,5,2,0.0,0.0,1,5
949,6,140,1,2,0.0,0.0,1,0
859,17,1,2,0,916.0,0.0,1,4
119,17,1,2,0,766.0,0.0,1,3
42,6,5017015,8,7,752.0,2146.0,1,5
12,17,1,2,0,750.0,0.0,1,3
372,6,1,2,0,0.0,0.0,1,2
621,17,2,2,0,2944.0,0.0,1,7
777,17,1,2,0,2740.0,0.0,1,4
921,17,48,2,0,884.0,0.0,1,4
48,17,1,2,0,1002.0,0.0,1,4
396,17,1,2,0,458.0,0.0,1,6
240,17,1,2,0,786.0,0.0,1,3
303,17,90406,200,0,88000.0,0.0,1,1
846,6,4610816,9,6,1092.0,2146.0,1,5
865,17,1,2,0,750.0,0.0,1,3
471,6,173,1,2,0.0,0.0,1,0
54,17,1,2,0,1662.0,0.0,1,4
731,17,3,2,0,2928.0,0.0,1,7
528,6,5533659,12,9,1842.0,4290.0,1,5
666,17,35719,200,0,88000.0,0.0,1,1
442,17,1,2,0,766.0,0.0,1,3
661,6,104978035,14,0,0.0,0.0,1,2
288,17,49,2,0,908.0,0.0,1,4
726,17,49,2,0,458.0,0.0,1,6
602,0,117,2,2,0.0,0.0,1,5
80,17,1,2,0,458.0,0.0,1,6
265,17,62938,200,0,88000.0,0.0,1,1
350,17,48,2,0,494.0,0.0,1,6
142,17,1,2,0,786.0,0.0,1,3
546,6,138,1,1,0.0,0.0,1,5
126,17,2,2,0,458.0,0.0,1,6
126,17,145808,200,0,88000.0,0.0,1,1
982,17,26228,90,0,39600.0,0.0,1,1
254,6,55879,1,3,0.0,0.0,0,0
234,17,3,2,0,880.0,0.0,0,1
174,17,20559,2,2,116.0,246.0,0,0
917,6,116,1,2,0.0,0.0,1,0
644,17,1,2,0,750.0,0.0,1,3
600,17,1,2,0,730.0,0.0,1,3
663,6,1,2,0,31.0,0.0,0,0
881,6,1,2,0,0.0,0.0,1,2
237,6,1,2,0,0.0,0.0,1,2
715,6,94,2,2,0.0,0.0,1,5
629,6,61378676,26,34,1474.0,1636.0,0,0
504,17,1,2,0,1058.0,0.0,1,4
161,17,3,2,0,2944.0,0.0,1,7
939,17,44906,2,2,70.0,102.0,0,0
529,17,2,2,0,2944.0,0.0,1,7
329,17,2,2,0,2944.0,0.0,1,7
368,6,132,1,1,0.0,0.0,1,5
16,17,48,2,0,458.0,0.0,1,6
657,17,3,2,0,2928.0,0.0,1,7
216,17,57095,2,2,64.0,256.0,0,0
382,17,1,2,0,738.0,0.0,1,3
512,17,107916,4,0,1438.0,0.0,1,3
720,17,1,2,0,802.0,0.0,1,3
276,6,5338086,12,9,1768.0,4290.0,1,5
867,17,1,2,0,802.0,0.0,1,3
141,17,1,2,0,738.0,0.0,1,3
922,17,1,2,0,778.0,0.0,1,3
604,6,101,1,2,0.0,0.0,1,0
567,6,511,4,0,123.0,0.0,0,0
593,6,754,4,0,123.0,0.0,0,0
15,17,28486,200,0,88000.0,0.0,1,1
383,17,1,2,0,812.0,0.0,1,4
586,17,1,2,0,1192.0,0.0,1,4
262,17,20740,2,2,82.0,114.0,0,0
316,6,5006344,8,7,652.0,2146.0,1,5
883,17,3,2,0,2944.0,0.0,1,7
636,17,30999,200,0,88000.0,0.0,1,1
867,17,6,2,0,2736.0,0.0,1,7
511,17,107159,4,0,1438.0,0.0,1,3
852,17,1,2,0,910.0,0.0,1,4
443,6,1,2,0,31.0,0.0,0,0
265,17,48,2,0,458.0,0.0,1,6
956,6,105726324,14,0,0.0,0.0,1,2
494,17,2,2,0,2928.0,0.0,1,7
503,6,98999678,14,0,0.0,0.0,1,2
154,17,1,2,0,458.0,0.0,1,6
907,6,107,2,2,0.0,0.0,1,2
211,6,142391,4,2,0.0,0.0,1,5
894,17,47349,2,2,76.0,188.0,0,0
878,6,1,2,0,0.0,0.0,1,2
592,6,181,1,2,0.0,0.0,1,0
0,17,218395,6,0,2088.0,0.0,1,3
459,6,3,2,0,0.0,0.0,0,0
847,6,3697591,21,24,1426.0,2834.0,1,5
920,17,2,2,0,2944.0,0.0,1,7
312,17,1,2,0,458.0,0.0,1,6
131,17,29638,200,0,88000.0,0.0,1,1
972,6,4171195,25,24,1458.0,2834.0,1,5
149,17,55554,200,0,88000.0,0.0,1,1
